time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
26.1,6.18975,5.23854,0.173952,0.441736,-0.0977421,-0.387874,-42.6584,1
26.2,6.20613,5.28099,0.153633,0.407281,-0.203193,-0.344547,-42.9443,1
26.3,6.22011,5.32028,0.125985,0.378374,-0.276473,-0.289072,-43.1746,1
26.4,6.23111,5.35692,0.0939659,0.3544,-0.320195,-0.23974,-43.3396,1
26.5,6.2405,5.39236,0.0939659,0.3544,-0,-0,-43.4332,0
26.6,6.2499,5.4278,0.0939659,0.3544,-0,-0,-43.4893,0
26.7,6.2593,5.46324,0.0939659,0.3544,-0,-0,-43.5445,0
26.8,6.26869,5.49868,0.0939659,0.3544,-0,-0,-43.5985,0
26.9,6.27809,5.53412,0.0939659,0.3544,-0,-0,-43.6513,0
27,6.28749,5.56956,0.0939659,0.3544,-0,-0,-43.7028,0
27.1,6.29688,5.605,0.0939659,0.3544,-0,-0,-43.7529,0
27.2,6.30628,5.64044,0.0939659,0.3544,-0,-0,-43.8013,0
27.3,6.31568,5.67588,0.0939659,0.3544,-0,-0,-43.848,0
27.4,6.32507,5.71132,0.0939659,0.3544,-0,-0,-43.8929,0
27.5,6.33447,5.74676,0.0939659,0.3544,-0,-0,-43.9358,0
27.6,6.34387,5.7822,0.0939659,0.3544,-0,-0,-43.9767,0
27.7,6.35326,5.81764,0.0939659,0.3544,-0,0,-44.0154,0
27.8,6.36266,5.85308,0.0939659,0.3544,-0,0,-44.0518,0
27.9,6.37206,5.88852,0.0939659,0.3544,-0,0,-44.0859,0
28,6.38145,5.92396,0.0939659,0.3544,-0,0,-44.1175,0
28.1,6.39085,5.9594,0.0939659,0.3544,-0,0,-44.1466,0
28.2,6.40025,5.99484,0.0939659,0.3544,-0,0,-44.1731,0
28.3,6.40964,6.03028,0.0939659,0.3544,-0,0,-44.1969,0
28.4,6.41904,6.06572,0.0939659,0.3544,-0,0,-44.218,0
28.5,6.42844,6.10116,0.0939659,0.3544,-0,0,-44.2363,0
28.6,6.43783,6.1366,0.0939659,0.3544,-0,0,-44.2518,0
28.7,6.44723,6.17204,0.0939659,0.3544,-0,0,-44.2645,0
28.8,6.45663,6.20748,0.0939659,0.3544,-0,0,-44.2743,0
28.9,6.46602,6.24292,0.0939659,0.3544,-0,0,-44.2813,0
29,6.47542,6.27836,0.0939659,0.3544,-0,0,-44.2854,0
29.1,6.48482,6.3138,0.0939659,0.3544,-0,0,-44.2866,0
29.2,6.49421,6.34924,0.0939659,0.3544,-0,0,-44.2849,0
29.3,6.50361,6.38468,0.0939659,0.3544,-0,0,-44.2804,0
29.4,6.51301,6.42012,0.0939659,0.3544,-0,0,-44.2731,0
29.5,6.5224,6.45556,0.0939659,0.3544,-0,0,-44.2631,0
29.6,6.5318,6.491,0.0939659,0.3544,-0,0,-44.2504,0
29.7,6.5412,6.52644,0.0939659,0.3544,-0,0,-44.2349,0
29.8,6.55059,6.56188,0.0939659,0.3544,-0,0,-44.2169,0
29.9,6.55999,6.59732,0.0939659,0.3544,-0,0,-44.1963,0
30,6.56939,6.63276,0.0939659,0.3544,-0,0,-44.1733,0
30.1,6.57878,6.6682,0.0939659,0.3544,-0,0,-44.1478,0
30.2,6.58818,6.70364,0.0939659,0.3544,-0,0,-44.1201,0
30.3,6.59757,6.73908,0.0939659,0.3544,-0,0,-44.09,0
30.4,6.60697,6.77452,0.0939659,0.3544,-0,0,-44.0579,0
30.5,6.61637,6.80996,0.0939659,0.3544,-0,0,-44.0236,0
30.6,6.62576,6.8454,0.0939659,0.3544,-0,0,-43.9874,0
30.7,6.63516,6.88084,0.0939659,0.3544,-0,-0,-43.9493,0
30.8,6.64456,6.91628,0.0939659,0.3544,-0,-0,-43.9094,0
30.9,6.65395,6.95172,0.0939659,0.3544,-0,-0,-43.8677,0
31,6.66335,6.98716,0.0939659,0.3544,-0,-0,-43.8245,0
31.1,6.67275,7.0226,0.0939659,0.3544,-0,-0,-43.7797,0
31.2,6.68214,7.05804,0.0939659,0.3544,-0,-0,-43.7335,0
31.3,6.69154,7.09348,0.0939659,0.3544,-0,-0,-43.686,0
31.4,6.69906,7.12824,0.0563235,0.340871,-0.376424,-0.135295,-43.6373,1
31.5,6.70287,7.1615,0.0199188,0.324297,-0.364047,-0.165741,-43.5551,1
31.6,6.70318,7.19284,-0.0136832,0.302596,-0.33602,-0.217003,-43.4089,1
31.7,6.70039,7.2217,-0.0421029,0.274448,-0.284197,-0.281482,-43.2017,1
31.8,6.69517,7.24741,-0.0621985,0.239862,-0.200956,-0.345857,-42.9379,1
31.9,6.68853,7.26944,-0.0706365,0.200763,-0.0843799,-0.390999,-42.624,1
32,6.68175,7.28754,-0.0650048,0.161161,0.056317,-0.396016,-42.2702,1
32.1,6.67625,7.30192,-0.045083,0.126475,0.199218,-0.346861,-41.8902,1
32.2,6.67332,7.31334,-0.0134841,0.101949,0.315989,-0.245257,-41.5007,1
32.3,6.67389,7.32298,0.0249609,0.0909048,0.38445,-0.110445,-41.1205,1
32.4,6.67838,7.33222,0.0648521,0.0938534,0.398912,0.0294865,-40.7669,1
32.5,6.68672,7.34236,0.101908,0.108914,0.370564,0.150606,-40.4547,1
32.6,6.69851,7.35446,0.133829,0.13302,0.3192,0.241063,-40.1939,1
32.7,6.71321,7.36926,0.160219,0.16308,0.2639,0.300594,-39.9904,1
32.8,6.73032,7.38725,0.182035,0.196607,0.218161,0.335269,-39.8468,1
32.9,6.74853,7.40691,0.182035,0.196607,0,0,-39.7636,0
33,6.76673,7.42657,0.182035,0.196607,0,0,-39.7104,0
33.1,6.78493,7.44623,0.182035,0.196607,0,0,-39.6561,0
33.2,6.80314,7.46589,0.182035,0.196607,0,0,-39.6008,0
